"HYBAS_ID","SR_exotic","Occ_exotic","sumSR","sumOcc","Occsqrtd","SR_rrfy","Occ_rrfy","NEXT_DOWN","SUB_AREA","Temperature","Elevation","Discharge","Ports","Locks","Ships_Avg","Ships_Max","Canal_Length","Canal_Binary"
2060260900,NA,NA,NA,NA,NA,NA,NA,2060267730,2025.5,16.8909090909091,165.336363636364,259.689663636364,0,0,132.78869047619,508.571428571429,0,"0"
2060254850,NA,NA,NA,NA,NA,NA,NA,2060258770,20231.3,21.095652173913,189.36038647343,8.23915555555556,0,0,0,0,0,"0"
2060254780,NA,NA,NA,NA,NA,NA,NA,2060258770,26173.4,17.7651632970451,185.197511664075,9.60495567651633,0,0,0,0,0,"0"
2060261450,NA,NA,NA,NA,NA,NA,NA,2060260960,3059.2,13.5317919075145,193.265895953757,53.9242485549133,0,0,0,0,0,"0"
2060261490,NA,NA,NA,NA,NA,NA,NA,2060260960,22188,12.976724137931,237.461206896552,7.88407844827586,0,0,0,0,0,"0"
2060351360,NA,NA,NA,NA,NA,NA,NA,2060318820,8130,43.9396751740139,253.819025522042,2.08386078886311,0,0,0,0,0,"0"
2060351440,NA,NA,NA,NA,NA,NA,NA,2060318820,5373.7,46.8859315589354,233.71102661597,2.06570342205323,0,0,0,0,0,"0"
2060320510,NA,NA,NA,NA,NA,NA,NA,2060321220,6475.1,46.5,151.621387283237,2.23413005780347,0,0,0,0,0,"0"
2060320430,NA,NA,NA,NA,NA,NA,NA,2060321220,11330.4,43.9172297297297,149.538851351351,8.28592398648649,0,0,0,0,0,"0"
2060253920,NA,NA,NA,NA,NA,NA,NA,2060260900,1976.6,16.16,154.26,79.30079,0,0,86.6111111111111,136,0,"0"
2060253910,NA,NA,NA,NA,NA,NA,NA,2060260900,7839.3,17.1813602015113,182.609571788413,5.2064282115869,0,0,0,0,0,"0"
2060316490,NA,NA,NA,NA,NA,NA,NA,2060315940,5158.3,46.8174603174603,124.5,3.10555158730159,0,0,0,0,0,"0"
2060316600,NA,NA,NA,NA,NA,NA,NA,2060315940,7818.4,49.4975961538462,129.891826923077,42.5013245192308,0,0,0,0,0,"0"
2060250010,NA,NA,NA,NA,NA,NA,NA,2060253920,0.1,18,104,534.53775,0,0,0,0,0,"0"
2060250020,NA,NA,NA,NA,NA,NA,NA,2060253920,7322.1,0.84841075794621,345.185819070905,9.21824205378973,0,0,80.3333333333333,117.166666666667,0,"0"
2060250000,NA,NA,NA,NA,NA,NA,NA,2060250010,6303.7,14.1828908554572,178.825958702065,5.19962536873156,0,0,0,0,0,"0"
2060249940,NA,NA,NA,NA,NA,NA,NA,2060250010,3845.9,13,150.10396039604,77.7294752475247,0,0,145.676870748299,253.857142857143,0,"0"
2060260420,NA,NA,NA,NA,NA,NA,NA,2060265950,11326.3,39.8523489932886,138.006711409396,40.6439731543624,0,1,1346.45588235294,10302.875,0,"0"
2060260320,NA,NA,NA,NA,NA,NA,NA,2060265950,9.6,36,97,364.226333333333,0,0,385.5,385.5,0,"0"
