"HYBAS_ID","SR_exotic","Occ_exotic","SR_all","Occ_all","Occsqrtd","SR_rrfy","Occ_rrfy","NEXT_DOWN","SUB_AREA","Temperature","Elevation","Discharge","Ports","Locks","Ships_Avg","Ships_Max","Canal_Length","Canal_Binary"
2070468420,0,0,1,1,1,0,0,2070476590,2148,74.4545454545455,195.418181818182,0.773636363636364,0,0,0,0,0,"0"
2070468340,NA,NA,NA,NA,NA,NA,NA,2070476590,989.5,77.8888888888889,164.388888888889,4.20348148148148,0,0,0,0,0,"0"
2070461300,NA,NA,NA,NA,NA,NA,NA,2070468340,2832.2,78.1712328767123,180.068493150685,0.677609589041096,0,0,0,0,0,"0"
2070461180,NA,NA,NA,NA,NA,NA,NA,2070468340,5.6,78,145.333333333333,9.08566666666667,0,0,0,0,0,"0"
2070460520,NA,NA,NA,NA,NA,NA,NA,2070461180,3499.3,73.0228571428571,215.948571428571,0.738417142857143,0,0,0,0,0,"0"
2070460530,NA,NA,NA,NA,NA,NA,NA,2070461180,3141.8,75.4569536423841,190.609271523179,0.761251655629139,0,0,0,0,0,"0"
2070462830,0,0,1,1,1,0,0,2070481420,3499.2,76.6287425149701,253.161676646707,7.83449101796407,0,0,0,0,0,"0"
2070462840,NA,NA,NA,NA,NA,NA,NA,2070481420,2821.5,74.7114093959731,239.778523489933,0.871328859060403,0,0,0,0,0,"0"
2070452590,0,0,3,3,1.73205080756888,0,0,2070462830,1201.2,74.3492063492064,304.396825396825,0.740047619047619,0,0,0,0,0,"0"
2070452490,0,0,5,7,2.64575131106459,0,0,2070462830,741.8,75.3428571428571,267.457142857143,12.1507142857143,0,0,0,0,0,"0"
2070446130,NA,NA,NA,NA,NA,NA,NA,2070452490,1391.2,73.7462686567164,272.850746268657,0.679432835820896,0,0,0,0,0,"0"
2070445990,NA,NA,NA,NA,NA,NA,NA,2070452490,93.3,75.5714285714286,251.571428571429,11.7642857142857,0,0,0,0,0,"0"
2070444500,NA,NA,NA,NA,NA,NA,NA,2070445990,1154.9,73.5813953488372,295.162790697674,0.818139534883721,0,0,0,0,0,"0"
2070444330,NA,NA,NA,NA,NA,NA,NA,2070445990,550.6,73.6296296296296,271.592592592593,5.27822222222222,0,0,0,0,0,"0"
2070442100,0,0,12,16,4,0,0,2070444330,4461.5,72.7611940298507,302.07960199005,2.32577114427861,0,0,0,0,0,"0"
2070441960,0,0,4,4,2,0,0,2070444330,896.6,72.9387755102041,275.102040816327,0.617244897959184,0,0,0,0,0,"0"
2070008010,0,0,1,1,1,0,0,0,2856.5,97.9527559055118,49.4645669291339,0.180015748031496,0,0,0,0,0,"0"
2070008160,0,0,2,3,1.73205080756888,0,0,0,5381,92.8679245283019,91.2037735849057,1.89540754716981,0,0,0,0,0,"0"
2070008170,0,0,20,42,6.48074069840786,0,0,0,7214.1,96.9512987012987,82.0064935064935,0.862675324675325,0,0,0,0,0,"0"
2070008350,0,0,3,4,2,0,0,0,914.1,106.047619047619,17.1904761904762,104.866523809524,1,0,1,1,0,"0"
2070520670,0,0,2,4,2,0,0,2070008350,1113.3,101.333333333333,45.5238095238095,120.456738095238,0,0,0,0,0,"0"
2070520610,0,0,2,2,1.4142135623731,0,0,2070008350,2996,95.8639455782313,94.5102040816327,1.18366666666667,0,0,0,0,0,"0"
2070513250,NA,NA,NA,NA,NA,NA,NA,2070520670,1645,97.3703703703704,111.024691358025,4.98585185185185,0,0,0,0,0,"0"
2070513150,NA,NA,NA,NA,NA,NA,NA,2070520670,363.9,98.4615384615385,60.9230769230769,102.320153846154,1,0,0,0,0,"0"
2070510370,0,0,2,2,1.4142135623731,0,0,2070513150,2171,94.3505154639175,135.639175257732,4.83563917525773,0,0,0,0,0,"0"
2070510380,NA,NA,NA,NA,NA,NA,NA,2070513150,1493.9,94.9545454545455,96.7424242424242,53.9599696969697,0,0,0,0,0,"0"
2070505670,NA,NA,NA,NA,NA,NA,NA,2070510380,765.1,91.8148148148148,162.333333333333,0.658851851851852,0,0,0,0,0,"0"
2070505600,NA,NA,NA,NA,NA,NA,NA,2070510380,164.9,96.1818181818182,67.5454545454545,173.535727272727,0,0,0,0,0,"0"
2070501930,0,0,3,6,2.44948974278318,0,0,2070505600,7761.2,89.2908587257618,156.038781163435,2.4328836565097,0,0,0,0,0,"0"
2070501780,NA,NA,NA,NA,NA,NA,NA,2070505600,408.4,91.6923076923077,119.769230769231,90.1511538461538,0,0,0,0,0,"0"
2070498460,NA,NA,NA,NA,NA,NA,NA,2070501780,5939.6,84.7811158798283,185.278969957082,53.1789957081545,0,0,0,0,0,"0"
2070498470,NA,NA,NA,NA,NA,NA,NA,2070501780,1284.7,88.6590909090909,150.704545454545,0.708068181818182,0,0,0,0,0,"0"
2070476020,0,0,2,2,1.4142135623731,0,0,2070498460,4095.1,80.5862068965517,233.022988505747,46.1333333333333,0,0,0,0,0,"0"
2070475810,NA,NA,NA,NA,NA,NA,NA,2070498460,2421.1,78.2884615384615,264.913461538462,0.845019230769231,0,0,0,0,0,"0"
2070465970,0,0,1,1,1,0,0,2070476020,1790.5,79.1309523809524,261.309523809524,38.3786785714286,0,0,0,0,0,"0"
2070465670,NA,NA,NA,NA,NA,NA,NA,2070476020,1415.2,76.3333333333333,281.893333333333,0.727133333333333,0,0,0,0,0,"0"
