"datasetkey","confidence_level","title","text","access","taxa"
"36d9b785-0739-4ce9-82e7-cf5001c20104",1,"Données naturalistes du CEN Auvergne concernant la Faune, la Flore et la Fonge - Données naturalistes faune du Conservatoire des espaces naturels Auvergne saisies avant le 18 février 2019.","Inventaire National du Patrimoine Naturel (2019). Données naturalistes du CEN Auvergne concernant la Faune, la Flore et la Fonge - Données naturalistes faune du Conservatoire des espaces naturels Auvergne saisies avant le 18 février 2019.. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/igo6zd accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"644f3a9f-1bbc-4e9d-8fd6-6989eac05371",1,"Réserves Naturelles de France (RNF) - RNF - Association Loiret Nature Environnement","Inventaire National du Patrimoine Naturel (2017). Réserves Naturelles de France (RNF) - RNF - Association Loiret Nature Environnement. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/mhnw6v accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"cdc3f469-f853-4339-a8a2-0260d6d7d8e5",1,"Etude qualité piscicole et astacicole - Inventaire et suivi Poissons","Inventaire National du Patrimoine Naturel (2021). Etude qualité piscicole et astacicole - Inventaire et suivi Poissons. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/dswnpq accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"31e9b28d-8e86-4570-99d3-688d53f38e05",1,"demande d'autorisation d'exploiter une gravière avec demande de défrichement sur la commune de Jayat - Données naturalistes CEMEX Jayat","Inventaire National du Patrimoine Naturel (2019). demande d'autorisation d'exploiter une gravière avec demande de défrichement sur la commune de Jayat - Données naturalistes CEMEX Jayat. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/evru2v accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"6f0b28dc-60cf-4378-b0c4-c6c6979ffcbc",1,"Activité générale du bureau d'étude BIOTOPE (1994 - 2013) - Données acquises dans le cadre de l'activité du bureau d'étude BIOTOPE (1994 - 2013)","Inventaire National du Patrimoine Naturel N (2022). Activité générale du bureau d'étude BIOTOPE (1994 - 2013) - Données acquises dans le cadre de l'activité du bureau d'étude BIOTOPE (1994 - 2013). Version 1.1. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/d3mzxf accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"5bb4bd79-be45-4618-bee9-3355dc1feb51",1,"Système d'Information sur la Nature et les Paysages d'Ile de France - Données du naturaliste Larregle Guillaume provenant de la base de donnée du SINP Île-de-France CETTIA","Inventaire National du Patrimoine Naturel (2018). Système d'Information sur la Nature et les Paysages d'Ile de France - Données du naturaliste Larregle Guillaume provenant de la base de donnée du SINP Île-de-France CETTIA. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/mlqyne accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"fa186af6-703e-43a5-9c8e-bb2726e13807",1,"Système d'Information sur la Nature et les Paysages d'Ile de France - Données du naturaliste Maxime Zucca provenant de la base de donnée du SINP Île-de-France CETTIA","Inventaire National du Patrimoine Naturel (2018). Système d'Information sur la Nature et les Paysages d'Ile de France - Données du naturaliste Maxime Zucca provenant de la base de donnée du SINP Île-de-France CETTIA. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/iuwwhy accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"ba5a5851-f34e-455b-a6a6-ba8e40a28643",1,"Système d'Information sur la Nature et les Paysages d'Ile de France - Données du naturaliste Vincent le Calvez","Inventaire National du Patrimoine Naturel (2018). Système d'Information sur la Nature et les Paysages d'Ile de France - Données du naturaliste Vincent le Calvez. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/92eedh accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"fd3d0c45-dad0-43a9-b64a-4fbb177d54d1",1,"Inventaires piscicoles réalisés par les Fédérations de Pêche dans le cadre d'études - Inventaires piscicoles / pêche complète","Inventaire National du Patrimoine Naturel (2022). Inventaires piscicoles réalisés par les Fédérations de Pêche dans le cadre d'études - Inventaires piscicoles / pêche complète. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/eqkemg accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
"a89e999a-7a77-4ea8-8962-7277e2658691",1,"LIGNE NOUVELLE MONTPELLIER PERPIGNAN DUP PHASE 1 - Poisson - Inventaire non protocolé","Inventaire National du Patrimoine Naturel (2021). LIGNE NOUVELLE MONTPELLIER PERPIGNAN DUP PHASE 1 - Poisson - Inventaire non protocolé. UMS PatriNat (OFB-CNRS-MNHN), Paris. Occurrence dataset https://doi.org/10.15468/wmcg7v accessed via GBIF.org on 2023-05-24.","Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2023-05-24","fish"
