Keys_CS,Genre,Species,Full,Country_basemap
Rhodeus sericeus Italy,Rhodeus,sericeus,Rhodeus sericeus,Italy
Rhodeus sericeus United Kingdom,Rhodeus,sericeus,Rhodeus sericeus,United Kingdom
Rutilus rutilus Ireland,Rutilus,rutilus,Rutilus rutilus,Ireland
Rutilus rutilus Italy,Rutilus,rutilus,Rutilus rutilus,Italy
Rutilus rutilus Portugal,Rutilus,rutilus,Rutilus rutilus,Portugal
Rutilus rutilus United Kingdom,Rutilus,rutilus,Rutilus rutilus,United Kingdom
Salmo letnica Greece,Salmo,letnica,Salmo letnica,Greece
Salmo salar Finland,Salmo,salar,Salmo salar,Finland
Salmo salar United Kingdom,Salmo,salar,Salmo salar,United Kingdom
Salmo trutta Croatia,Salmo,trutta,Salmo trutta,Croatia
Salvelinus alpinus France,Salvelinus,alpinus,Salvelinus alpinus,France
Salvelinus alpinus France,Salvelinus,alpinus,Salvelinus alpinus,France
Salvelinus alpinus Italy,Salvelinus,alpinus,Salvelinus alpinus,Italy
Salvelinus fontinalis Austria,Salvelinus,fontinalis,Salvelinus fontinalis,Austria
Salvelinus fontinalis Bulgaria,Salvelinus,fontinalis,Salvelinus fontinalis,Bulgaria
Salvelinus fontinalis Czech Republic,Salvelinus,fontinalis,Salvelinus fontinalis,Czechia
Salvelinus fontinalis Denmark,Salvelinus,fontinalis,Salvelinus fontinalis,Denmark
Salvelinus fontinalis France,Salvelinus,fontinalis,Salvelinus fontinalis,France
Salvelinus fontinalis Germany,Salvelinus,fontinalis,Salvelinus fontinalis,Germany
Salvelinus fontinalis Italy,Salvelinus,fontinalis,Salvelinus fontinalis,Italy
Salvelinus fontinalis Norway,Salvelinus,fontinalis,Salvelinus fontinalis,Norway
Salvelinus fontinalis Poland,Salvelinus,fontinalis,Salvelinus fontinalis,Poland
Salvelinus fontinalis Romania,Salvelinus,fontinalis,Salvelinus fontinalis,Romania
Salvelinus fontinalis Slovakia,Salvelinus,fontinalis,Salvelinus fontinalis,Slovakia
Salvelinus fontinalis Sweden,Salvelinus,fontinalis,Salvelinus fontinalis,Sweden
Salvelinus fontinalis Sweden,Salvelinus,fontinalis,Salvelinus fontinalis,Sweden
Salvelinus fontinalis Switzerland,Salvelinus,fontinalis,Salvelinus fontinalis,Switzerland
Salvelinus fontinalis United Kingdom,Salvelinus,fontinalis,Salvelinus fontinalis,United Kingdom
Salvelinus namaycush Germany,Salvelinus,namaycush,Salvelinus namaycush,Germany
Salvelinus namaycush Germany,Salvelinus,namaycush,Salvelinus namaycush,Germany
Salvelinus namaycush Italy,Salvelinus,namaycush,Salvelinus namaycush,Italy
Salvelinus namaycush Norway,Salvelinus,namaycush,Salvelinus namaycush,Norway
Salvelinus namaycush Sweden,Salvelinus,namaycush,Salvelinus namaycush,Sweden
Salvelinus namaycush Switzerland,Salvelinus,namaycush,Salvelinus namaycush,Switzerland
Sander lucioperca Belgium,Sander,lucioperca,Sander lucioperca,Belgium
Sander lucioperca Czech Republic,Sander,lucioperca,Sander lucioperca,Czechia
Sander lucioperca Denmark,Sander,lucioperca,Sander lucioperca,Denmark
Sander lucioperca Denmark,Sander,lucioperca,Sander lucioperca,Denmark
Sander lucioperca France,Sander,lucioperca,Sander lucioperca,France
Sander lucioperca Germany,Sander,lucioperca,Sander lucioperca,Germany
Sander lucioperca Italy,Sander,lucioperca,Sander lucioperca,Italy
Sander lucioperca Italy,Sander,lucioperca,Sander lucioperca,Italy
Sander lucioperca Netherlands,Sander,lucioperca,Sander lucioperca,Netherlands
Sander lucioperca Portugal,Sander,lucioperca,Sander lucioperca,Portugal
Sander lucioperca Switzerland,Sander,lucioperca,Sander lucioperca,Switzerland
Sander lucioperca United Kingdom,Sander,lucioperca,Sander lucioperca,United Kingdom
Sander lucioperca United Kingdom,Sander,lucioperca,Sander lucioperca,United Kingdom
Scardinius erythrophthalmus Ireland,Scardinius,erythrophthalmus,Scardinius erythrophthalmus,Ireland
Scardinius erythrophthalmus Italy,Scardinius,erythrophthalmus,Scardinius erythrophthalmus,Italy
Silurus glanis Italy,Silurus,glanis,Silurus glanis,Italy
Silurus glanis Netherlands,Silurus,glanis,Silurus glanis,Netherlands
Silurus glanis Portugal,Silurus,glanis,Silurus glanis,Portugal
Silurus glanis Spain,Silurus,glanis,Silurus glanis,Spain
Silurus glanis United Kingdom,Silurus,glanis,Silurus glanis,United Kingdom
Squalius cephalus Italy,Squalius,cephalus,Squalius cephalus,Italy
Telestes souffia Italy,Telestes,souffia,Telestes souffia,Italy
Thymallus thymallus Italy,Thymallus,thymallus,Thymallus thymallus,Italy
Tinca tinca Finland,Tinca,tinca,Tinca tinca,Finland
Tinca tinca Ireland,Tinca,tinca,Tinca tinca,Ireland
Tinca tinca Italy,Tinca,tinca,Tinca tinca,Italy
Tinca tinca Netherlands,Tinca,tinca,Tinca tinca,Netherlands
Tinca tinca Norway,Tinca,tinca,Tinca tinca,Norway
Umbra pygmaea Belgium,Umbra,pygmaea,Umbra pygmaea,Belgium
Umbra pygmaea Denmark,Umbra,pygmaea,Umbra pygmaea,Denmark
Umbra pygmaea France,Umbra,pygmaea,Umbra pygmaea,France
Umbra pygmaea Germany,Umbra,pygmaea,Umbra pygmaea,Germany
Umbra pygmaea Netherlands,Umbra,pygmaea,Umbra pygmaea,Netherlands
Umbra pygmaea Poland,Umbra,pygmaea,Umbra pygmaea,Poland
